UNSATURATED UNIT WT,SATURATED UNIT WT,VOID RATIO,COHESION,ANGLE OF FRICTION,HEIGHT,SLOPE ANGLE,FOS
19.02,19.07,0.715,32,6,5,33.69,2.218
19.02,19.26,0.749,25.6,6,5,33.69,1.836
19.06,19.5,0.638,29.8,8,5,33.69,2.185
19.01,19.07,0.715,24.2,6,5,33.69,1.755
19.09,19.39,0.666,21.2,12.5,5,33.69,1.87
19.09,19.15,0.703,29.6,7.5,5,33.69,2.146
19.14,19.17,0.703,22.88,12,5,33.69,1.949
19.19,19.54,0.642,23.4,14,5,33.69,2.07
19.022,19.1,0.708,20.9,12.5,5,33.69,1.856
19.2,19.57,0.637,23.9,13.5,5,33.69,2.076
19.11,19.21,0.694,21.6,14,5,33.69,1.964
19.19,19.37,0.67,22.8,14.5,5,33.69,2.056
19.39,19.6,0.622,37.9,12,5,33.69,2.833
19.42,19.73,0.6,39.4,11.5,5,33.69,2.894
19.48,19.83,0.585,45.9,12,5,33.69,3.294
19.06,19.13,0.704,24.8,8,5,33.69,1.883
19.29,19.38,0.658,30.2,12,5,33.69,2.383
19.39,19.57,0.627,36.7,10.5,5,33.69,2.687
19.4,19.75,0.597,45.8,11.5,5,33.69,3.275
19.29,19.58,0.624,36.9,11,5,33.69,2.735
19.39,19.68,0.608,38.4,12.5,5,33.69,2.888
19.1,19.27,0.69,28.4,10,5,33.69,2.195
19.2,19.55,0.63,33,9,5,33.69,2.413
19.3,19.74,0.61,40.1,9.5,5,33.69,2.85
19.3,19.74,0.61,42.2,10,5,33.69,2.998
19.2,19.68,0.62,35.6,9,5,33.69,2.568
19.2,19.74,0.61,39.7,9,5,33.69,2.811
19.2,19.62,0.62,34,9.5,5,33.69,2.497
19.3,19.74,0.61,42.9,10,5,33.69,3.04
19.3,19.42,0.662,29.2,16,5,33.69,2.51
19.02,19.07,0.715,32,6,5,45,2.016
19.02,19.26,0.749,25.6,6,5,45,1.659
19.06,19.5,0.638,29.8,8,5,45,1.966
19.01,19.07,0.715,24.2,6,5,45,1.583
19.09,19.39,0.666,21.2,12.5,5,45,1.651
19.09,19.15,0.703,29.6,7.5,5,45,1.934
19.14,19.17,0.703,22.88,12,5,45,1.724
19.19,19.54,0.642,23.4,14,5,45,1.825
19.022,19.1,0.708,20.9,12.5,5,45,1.638
19.2,19.57,0.637,23.9,13.5,5,45,1.833
19.11,19.21,0.694,21.6,14,5,45,1.728
19.19,19.37,0.67,22.8,14.5,5,45,1.81
19.39,19.6,0.622,37.9,12,5,45,2.539
19.42,19.73,0.6,39.4,11.5,5,45,2.599
19.48,19.83,0.585,45.9,12,5,45,2.965
19.06,19.13,0.704,24.8,8,5,45,1.688
19.29,19.38,0.658,30.2,12,5,45,2.122
19.39,19.57,0.627,36.7,10.5,5,45,2.415
19.4,19.75,0.597,45.8,11.5,5,45,2.949
19.29,19.58,0.624,36.9,11,5,45,2.455
19.39,19.68,0.608,38.4,12.5,5,45,2.586
19.1,19.27,0.69,28.4,10,5,45,1.962
19.2,19.55,0.63,33,9,5,45,2.171
19.3,19.74,0.61,40.1,9.5,5,45,2.571
19.3,19.74,0.61,42.2,10,5,45,2.706
19.2,19.68,0.62,35.6,9,5,45,2.313
19.2,19.74,0.61,39.7,9,5,45,2.541
19.2,19.62,0.62,34,9.5,5,45,2.246
19.3,19.74,0.61,42.9,10,5,45,2.745
19.3,19.42,0.662,29.2,16,5,45,2.217
19.02,19.07,0.715,32,6,5,26.67,2.366
19.02,19.26,0.749,25.6,6,5,26.67,1.968
19.06,19.5,0.638,29.8,8,5,26.67,2.349
19.01,19.07,0.715,24.2,6,5,26.67,1.882
19.09,19.39,0.666,21.2,12.5,5,26.67,2.059
19.09,19.15,0.703,29.6,7.5,5,26.67,2.303
19.14,19.17,0.703,22.88,12,5,26.67,2.135
19.19,19.54,0.642,23.4,14,5,26.67,2.279
19.022,19.1,0.708,20.9,12.5,5,26.67,2.044
19.2,19.57,0.637,23.9,13.5,5,26.67,2.282
19.11,19.21,0.694,21.6,14,5,26.67,2.167
19.19,19.37,0.67,22.8,14.5,5,26.67,2.268
19.39,19.6,0.622,37.9,12,5,26.67,3.059
19.42,19.73,0.6,39.4,11.5,5,26.67,3.12
19.48,19.83,0.585,45.9,12,5,26.67,3.542
19.06,19.13,0.704,24.8,8,5,26.67,2.034
19.29,19.38,0.658,30.2,12,5,26.67,2.588
19.39,19.57,0.627,36.7,10.5,5,26.67,2.895
19.4,19.75,0.597,45.8,11.5,5,26.67,3.517
